id,precision,recall,f1,log_loss,brier,ece,prec_mean,prec_median,prec_ci_lower,prec_ci_upper
mcmc_NUTS_w10_p0.01,0.9651162790697675,0.9222222222222223,0.9431818181818182,0.05255021192096039,0.015285275973382657,0.006353996939957141,0.00719212181866169,0.007104997057467699,0.003996814135462046,0.010983845219016075
mcmc_NUTS_w10_p0.1,0.9482758620689655,0.9166666666666666,0.9322033898305084,0.05188197585716066,0.014331972186141873,0.011973998590372504,0.004656977020204067,0.004528374411165714,0.0031852133106440306,0.006617506500333548
mcmc_NUTS_w10_p1,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.04497537716940722,0.013433087931390537,0.012079996574670078,0.0036855479702353477,0.0031439857557415962,0.000980767305009067,0.008098107762634754
mcmc_NUTS_w14_p0.01,0.9606741573033708,0.95,0.9553072625698324,0.040924631902028184,0.01182418798959045,0.007505995045416059,0.006041782442480326,0.0059958212077617645,0.00459348363801837,0.007885686121881008
mcmc_NUTS_w14_p0.1,0.9608938547486033,0.9555555555555556,0.958217270194986,0.038102479266233884,0.01109147596611588,0.00971000153478235,0.005330053623765707,0.005198422819375992,0.002033828990533948,0.009458928368985653
mcmc_NUTS_w14_p1,0.9608938547486033,0.9555555555555556,0.958217270194986,0.04095023953766671,0.01185066815489552,0.011373995151370763,0.005417348351329565,0.005133222788572311,0.003594087902456522,0.008509686216711998
mcmc_NUTS_w5_p0.01,0.9819277108433735,0.9055555555555556,0.9421965317919075,0.06412672006827734,0.017549783936278165,0.013519999179989098,0.009033726528286934,0.008859442546963692,0.005181774031370878,0.013677534647285938
mcmc_NUTS_w5_p0.1,0.9937106918238994,0.8777777777777778,0.9321533923303835,0.06977790681317432,0.020163739892586106,0.013673988748341796,0.011116238310933113,0.010727955028414726,0.006606503389775753,0.017705462872982025
mcmc_NUTS_w5_p1,0.9640718562874252,0.8944444444444445,0.9279538904899135,0.07224586723387669,0.020888896201208176,0.012223996041342618,0.021512970328330994,0.02131139300763607,0.009238976053893566,0.03737783059477806
vi_AutoDiag_w10_p0.01,0.9607843137254902,0.8166666666666667,0.8828828828828829,0.12961156398553436,0.028894736191031913,0.023983990915119647,0.3090599477291107,0.3071807026863098,0.25907328724861145,0.3657606840133667
vi_AutoDiag_w10_p0.1,0.9866666666666667,0.8222222222222222,0.896969696969697,0.10082786268928182,0.026956183645488532,0.021115991991013286,0.39272230863571167,0.3914748430252075,0.3293675184249878,0.46565771102905273
vi_AutoDiag_w10_p1,0.9863945578231292,0.8055555555555556,0.8868501529051988,0.1552187701393234,0.035271544358996335,0.028752010352909564,0.09833606332540512,0.09740690886974335,0.08276925981044769,0.12107031047344208
vi_AutoDiag_w14_p0.01,0.9470588235294117,0.8944444444444445,0.92,0.11930411924829706,0.027065399819929975,0.01913598298560828,1.37272047996521,1.3649482727050781,1.1269108057022095,1.6559604406356812
vi_AutoDiag_w14_p0.1,0.9867549668874173,0.8277777777777777,0.9003021148036254,0.12479262262729464,0.026948803969311454,0.01705399678647518,0.147549569606781,0.14690490067005157,0.12054044753313065,0.1790674924850464
vi_AutoDiag_w14_p1,0.9865771812080537,0.8166666666666667,0.8936170212765957,0.11464625677678375,0.02790892415028344,0.01844599706865847,0.9448736906051636,0.9402157068252563,0.7888239622116089,1.125551462173462
vi_AutoDiag_w5_p0.01,0.9436619718309859,0.7444444444444445,0.8322981366459627,0.17479491931271005,0.04406681027589119,0.03879000265710056,0.23823586106300354,0.23730231821537018,0.19987984001636505,0.2829732894897461
vi_AutoDiag_w5_p0.1,0.9867549668874173,0.8277777777777777,0.9003021148036254,0.17623488667145604,0.03944316424267871,0.07251399983465671,0.14530551433563232,0.1438383162021637,0.11783962696790695,0.17662633955478668
vi_AutoDiag_w5_p1,0.9867549668874173,0.8277777777777777,0.9003021148036254,0.11969877976276432,0.029948319625061316,0.022027987247332934,0.7635928392410278,0.7576078176498413,0.6492913961410522,0.9042686820030212
vi_AutoMult_w10_p0.01,0.954248366013072,0.8111111111111111,0.8768768768768769,0.09548858535090644,0.02688647988899827,0.021339992702007295,0.07889635860919952,0.0782129168510437,0.06413391977548599,0.0949135348200798
vi_AutoMult_w10_p0.1,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.09654649332142523,0.02731483591651548,0.017742008974775673,0.14278046786785126,0.14212444424629211,0.11939658224582672,0.17120122909545898
vi_AutoMult_w10_p1,0.9615384615384616,0.8333333333333334,0.8928571428571429,0.10439609616552382,0.029491400265847168,0.023871997937560077,0.7328122854232788,0.730599045753479,0.6078288555145264,0.8687885999679565
vi_AutoMult_w14_p0.01,0.94375,0.8388888888888889,0.888235294117647,0.09129369632917232,0.026376320109618517,0.015292017765343195,0.1542014628648758,0.15411454439163208,0.12935245037078857,0.183540940284729
vi_AutoMult_w14_p0.1,0.9386503067484663,0.85,0.892128279883382,0.09674600758990017,0.026180528211127818,0.017220007739961154,0.3119031488895416,0.3111106753349304,0.2631637752056122,0.36635449528694153
vi_AutoMult_w14_p1,0.9865771812080537,0.8166666666666667,0.8936170212765957,0.1103724969108101,0.027746235630272825,0.026177997319027785,1.7676512002944946,1.7589645385742188,1.491276502609253,2.087815046310425
vi_AutoMult_w5_p0.01,0.9735099337748344,0.8166666666666667,0.8882175226586103,0.10249283265113979,0.027154147774835144,0.01793400439806282,0.9661524891853333,0.9587523937225342,0.8027608394622803,1.1591778993606567
vi_AutoMult_w5_p0.1,0.9864864864864865,0.8111111111111111,0.8902439024390244,0.11074809375106795,0.02815051959220644,0.027299996901303532,0.08224143087863922,0.08133476227521896,0.059263020753860474,0.11046834290027618
vi_AutoMult_w5_p1,0.9858156028368794,0.7722222222222223,0.8660436137071651,0.11357876146917507,0.031201943790402687,0.017547991594299674,0.28188472986221313,0.2792888879776001,0.23359829187393188,0.34067586064338684
