method,width,precision_prior,rhat
mcmc,10,1.0,3.4000625610351562
mcmc,10,1.0,2.820178985595703
mcmc,10,1.0,3.109313726425171
mcmc,10,1.0,3.2187485694885254
mcmc,10,1.0,2.2477328777313232
mcmc,10,1.0,5.183438777923584
mcmc,10,1.0,2.0217204093933105
mcmc,10,1.0,3.406867265701294
mcmc,10,1.0,2.163423538208008
mcmc,10,1.0,1.2430105209350586
mcmc,10,1.0,1.799959659576416
mcmc,10,1.0,6.1272149085998535
mcmc,10,1.0,1.3580808639526367
mcmc,10,1.0,4.490809917449951
mcmc,10,1.0,3.688235282897949
mcmc,10,1.0,2.7896485328674316
mcmc,10,1.0,1.469347596168518
mcmc,10,1.0,4.315594673156738
mcmc,10,1.0,4.938632488250732
mcmc,10,1.0,3.0958409309387207
mcmc,10,1.0,6.75380802154541
mcmc,10,1.0,5.676248550415039
mcmc,10,1.0,1.6468812227249146
mcmc,10,1.0,1.6848832368850708
mcmc,10,1.0,3.7022759914398193
mcmc,10,1.0,3.374521255493164
mcmc,10,1.0,2.975449800491333
mcmc,10,1.0,3.3900344371795654
mcmc,10,1.0,2.0179405212402344
mcmc,10,1.0,1.2963062524795532
mcmc,10,1.0,2.289299964904785
mcmc,10,1.0,1.7676732540130615
mcmc,10,1.0,2.0102109909057617
mcmc,10,1.0,1.725648283958435
mcmc,10,1.0,2.102735996246338
mcmc,10,1.0,1.6792271137237549
mcmc,10,1.0,1.0764310359954834
mcmc,10,1.0,1.3728265762329102
mcmc,10,1.0,1.1918549537658691
mcmc,10,1.0,2.194335460662842
mcmc,10,1.0,1.1345319747924805
mcmc,10,1.0,1.5521700382232666
mcmc,10,1.0,1.6359047889709473
mcmc,10,1.0,1.1741487979888916
mcmc,10,1.0,1.1142253875732422
mcmc,10,1.0,1.600524663925171
mcmc,10,1.0,5.4455156326293945
mcmc,10,1.0,1.808103084564209
mcmc,10,1.0,1.9731955528259277
mcmc,10,1.0,1.8726121187210083
mcmc,10,1.0,3.1629507541656494
mcmc,10,1.0,1.1560943126678467
mcmc,10,1.0,1.803054928779602
mcmc,10,1.0,4.2623724937438965
mcmc,10,1.0,1.918972373008728
mcmc,10,1.0,2.254042625427246
mcmc,10,1.0,2.6386232376098633
mcmc,10,1.0,1.0166884660720825
mcmc,10,1.0,2.0656468868255615
mcmc,10,1.0,1.4340074062347412
mcmc,10,1.0,2.117293357849121
mcmc,10,1.0,3.6037235260009766
mcmc,10,1.0,1.9535759687423706
mcmc,10,1.0,2.552368402481079
mcmc,10,1.0,2.2570152282714844
mcmc,10,1.0,1.3875174522399902
mcmc,10,1.0,1.8504785299301147
mcmc,10,1.0,3.1291069984436035
mcmc,10,1.0,1.3520305156707764
mcmc,10,1.0,3.8918144702911377
mcmc,10,1.0,1.323736310005188
mcmc,10,1.0,1.3735226392745972
mcmc,10,1.0,2.2909631729125977
mcmc,10,1.0,1.6070698499679565
mcmc,10,1.0,1.6475749015808105
mcmc,10,1.0,1.2814420461654663
mcmc,10,1.0,1.2947750091552734
mcmc,10,1.0,1.9595482349395752
mcmc,10,1.0,1.9689100980758667
mcmc,10,1.0,1.3669614791870117
mcmc,10,1.0,1.6201081275939941
mcmc,10,1.0,1.0512622594833374
mcmc,10,1.0,2.274441719055176
mcmc,10,1.0,3.67795991897583
mcmc,10,1.0,1.1888484954833984
mcmc,10,1.0,1.4984865188598633
mcmc,10,1.0,1.5185716152191162
mcmc,10,1.0,4.933606147766113
mcmc,10,1.0,2.315291404724121
mcmc,10,1.0,4.20515251159668
mcmc,10,1.0,1.7111071348190308
mcmc,10,1.0,1.2517218589782715
mcmc,10,1.0,2.41351056098938
mcmc,10,1.0,3.8982608318328857
mcmc,10,1.0,1.0105738639831543
mcmc,10,1.0,3.4725875854492188
mcmc,14,0.01,4.876592636108398
mcmc,14,0.01,2.9663712978363037
mcmc,14,0.01,2.8458356857299805
mcmc,14,0.01,3.0788357257843018
mcmc,14,0.01,1.967779517173767
mcmc,14,0.01,1.695805311203003
mcmc,14,0.01,6.111301898956299
mcmc,14,0.01,1.6111947298049927
mcmc,14,0.01,2.0571911334991455
mcmc,14,0.01,1.8092105388641357
mcmc,14,0.01,5.692176818847656
mcmc,14,0.01,1.5730446577072144
mcmc,14,0.01,3.332378387451172
mcmc,14,0.01,1.1389340162277222
mcmc,14,0.01,3.9911794662475586
mcmc,14,0.01,2.961881399154663
mcmc,14,0.01,4.508758544921875
mcmc,14,0.01,6.711958885192871
mcmc,14,0.01,1.6985660791397095
mcmc,14,0.01,4.6953935623168945
mcmc,14,0.01,5.766928195953369
mcmc,14,0.01,9.252545356750488
mcmc,14,0.01,7.766408443450928
mcmc,14,0.01,4.870162010192871
mcmc,14,0.01,5.597805500030518
mcmc,14,0.01,7.919488906860352
mcmc,14,0.01,2.044602394104004
mcmc,14,0.01,5.045655727386475
mcmc,14,0.01,2.667973756790161
mcmc,14,0.01,4.502976417541504
mcmc,14,0.01,4.264796257019043
mcmc,14,0.01,1.3125734329223633
mcmc,14,0.01,2.258010149002075
mcmc,14,0.01,3.9501798152923584
mcmc,14,0.01,5.866143226623535
mcmc,14,0.01,7.295310974121094
mcmc,14,0.01,7.059650897979736
mcmc,14,0.01,2.6920857429504395
mcmc,14,0.01,5.778812885284424
mcmc,14,0.01,1.7801882028579712
mcmc,14,0.01,1.1019799709320068
mcmc,14,0.01,2.9170279502868652
mcmc,14,0.01,1.5039843320846558
mcmc,14,0.01,7.254552364349365
mcmc,14,0.01,4.479113578796387
mcmc,14,0.01,7.540229797363281
mcmc,14,0.01,6.0799384117126465
mcmc,14,0.01,10.98017692565918
mcmc,14,0.01,6.80739164352417
mcmc,14,0.01,6.633826732635498
mcmc,14,0.01,8.241363525390625
mcmc,14,0.01,3.324449062347412
mcmc,14,0.01,2.7343244552612305
mcmc,14,0.01,9.556412696838379
mcmc,14,0.01,1.26430344581604
mcmc,14,0.01,2.1656174659729004
mcmc,14,0.01,3.92706561088562
mcmc,14,0.01,4.0859575271606445
mcmc,14,0.01,2.332310199737549
mcmc,14,0.01,1.7924081087112427
mcmc,14,0.01,1.4719011783599854
mcmc,14,0.01,1.561946153640747
mcmc,14,0.01,4.00961971282959
mcmc,14,0.01,1.396765112876892
mcmc,14,0.01,1.5990264415740967
mcmc,14,0.01,2.208041191101074
mcmc,14,0.01,1.4826562404632568
mcmc,14,0.01,1.1034523248672485
mcmc,14,0.01,2.3317837715148926
mcmc,14,0.01,1.2230501174926758
mcmc,14,0.01,2.3995912075042725
mcmc,14,0.01,1.2825393676757812
mcmc,14,0.01,1.2895759344100952
mcmc,14,0.01,1.4788678884506226
mcmc,14,0.01,1.1685192584991455
mcmc,14,0.01,2.448793411254883
mcmc,14,0.01,2.451657295227051
mcmc,14,0.01,1.347609281539917
mcmc,14,0.01,2.035097122192383
mcmc,14,0.01,2.5797176361083984
mcmc,14,0.01,1.408385992050171
mcmc,14,0.01,1.7135441303253174
mcmc,14,0.01,1.4085255861282349
mcmc,14,0.01,1.7533438205718994
mcmc,14,0.01,2.0574066638946533
mcmc,14,0.01,2.505305767059326
mcmc,14,0.01,2.995194673538208
mcmc,14,0.01,2.6776959896087646
mcmc,14,0.01,1.507287621498108
mcmc,14,0.01,4.194810390472412
mcmc,14,0.01,2.823862314224243
mcmc,14,0.01,3.934640645980835
mcmc,14,0.01,1.1339240074157715
mcmc,14,0.01,1.9707973003387451
mcmc,14,0.01,4.317610263824463
mcmc,14,0.01,6.116448402404785
mcmc,14,0.01,1.2820900678634644
mcmc,14,0.01,2.2600717544555664
mcmc,14,0.01,2.499063491821289
mcmc,14,0.01,3.150526762008667
mcmc,14,0.01,1.5197323560714722
mcmc,14,0.01,2.19197416305542
mcmc,14,0.01,4.884923934936523
mcmc,14,0.01,1.8239449262619019
mcmc,14,0.01,5.464136600494385
mcmc,14,0.01,2.648524284362793
mcmc,14,0.01,1.3670588731765747
mcmc,14,0.01,1.5805106163024902
mcmc,14,0.01,2.3255953788757324
mcmc,14,0.01,1.323006272315979
mcmc,14,0.01,1.4703484773635864
mcmc,14,0.01,2.3242268562316895
mcmc,14,0.01,5.663583755493164
mcmc,14,0.01,4.644186496734619
mcmc,14,0.01,1.7315850257873535
mcmc,14,0.01,1.4018712043762207
mcmc,14,0.01,1.5735228061676025
mcmc,14,0.01,4.060400485992432
mcmc,14,0.01,5.362855911254883
mcmc,14,0.01,1.9997869729995728
mcmc,14,0.01,3.9904544353485107
mcmc,14,0.01,1.3986200094223022
mcmc,14,0.01,3.972154378890991
mcmc,14,0.01,3.3164162635803223
mcmc,14,0.01,1.377958059310913
mcmc,14,0.01,2.226363182067871
mcmc,14,0.01,1.9607105255126953
mcmc,14,0.01,1.6057020425796509
mcmc,14,0.01,2.9105052947998047
mcmc,14,0.01,1.9661524295806885
mcmc,14,0.01,2.4241857528686523
mcmc,14,0.01,1.1465826034545898
mcmc,14,0.01,1.6714730262756348
mcmc,14,0.01,1.9837900400161743
mcmc,14,0.01,1.9220993518829346
mcmc,14,0.01,1.3953309059143066
mcmc,14,0.01,1.2175971269607544
mcmc,14,0.01,1.249873399734497
mcmc,14,0.01,2.2487905025482178
mcmc,14,0.01,2.4096529483795166
mcmc,14,0.01,2.546269655227661
mcmc,14,0.01,5.468688488006592
mcmc,14,0.01,1.63557767868042
mcmc,14,0.01,1.2391350269317627
mcmc,14,0.01,5.483745098114014
mcmc,14,0.01,1.4505337476730347
mcmc,14,0.01,7.642377853393555
mcmc,14,0.01,7.970935821533203
mcmc,14,0.01,8.81139850616455
mcmc,14,0.01,6.994359016418457
mcmc,14,0.01,1.485692024230957
mcmc,14,0.01,1.48924720287323
mcmc,14,0.01,1.7506532669067383
mcmc,14,0.01,5.850991249084473
mcmc,14,0.01,1.6717379093170166
mcmc,14,0.01,1.3491814136505127
mcmc,14,0.1,3.459833860397339
mcmc,14,0.1,4.088700294494629
mcmc,14,0.1,2.3913042545318604
mcmc,14,0.1,4.16365909576416
mcmc,14,0.1,2.0202646255493164
mcmc,14,0.1,2.7801291942596436
mcmc,14,0.1,1.6876540184020996
mcmc,14,0.1,2.247124195098877
mcmc,14,0.1,4.120969772338867
mcmc,14,0.1,2.237410068511963
mcmc,14,0.1,1.647736668586731
mcmc,14,0.1,3.2753536701202393
mcmc,14,0.1,1.1574112176895142
mcmc,14,0.1,4.74960994720459
mcmc,14,0.1,5.7741193771362305
mcmc,14,0.1,5.523262023925781
mcmc,14,0.1,2.0245418548583984
mcmc,14,0.1,10.128698348999023
mcmc,14,0.1,5.372371673583984
mcmc,14,0.1,8.644902229309082
mcmc,14,0.1,8.104683876037598
mcmc,14,0.1,2.341071605682373
mcmc,14,0.1,4.572219371795654
mcmc,14,0.1,5.102375030517578
mcmc,14,0.1,3.8637781143188477
mcmc,14,0.1,9.863192558288574
mcmc,14,0.1,2.542900323867798
mcmc,14,0.1,6.787308216094971
mcmc,14,0.1,5.869495391845703
mcmc,14,0.1,3.4809932708740234
mcmc,14,0.1,1.1113433837890625
mcmc,14,0.1,1.7093837261199951
mcmc,14,0.1,6.667356491088867
mcmc,14,0.1,6.49409294128418
mcmc,14,0.1,3.653675079345703
mcmc,14,0.1,4.0227484703063965
mcmc,14,0.1,3.0895867347717285
mcmc,14,0.1,3.839262008666992
mcmc,14,0.1,5.175930976867676
mcmc,14,0.1,4.933513164520264
mcmc,14,0.1,8.128802299499512
mcmc,14,0.1,6.241002559661865
mcmc,14,0.1,4.93416690826416
mcmc,14,0.1,5.70026969909668
mcmc,14,0.1,7.536628246307373
mcmc,14,0.1,1.3308907747268677
mcmc,14,0.1,8.38204288482666
mcmc,14,0.1,1.386526107788086
mcmc,14,0.1,6.105873107910156
mcmc,14,0.1,6.828332901000977
mcmc,14,0.1,5.6740312576293945
mcmc,14,0.1,1.2435028553009033
mcmc,14,0.1,3.339989185333252
mcmc,14,0.1,6.424400806427002
mcmc,14,0.1,5.484918117523193
mcmc,14,0.1,7.733667373657227
mcmc,14,0.1,4.698639392852783
mcmc,14,0.1,1.2912729978561401
mcmc,14,0.1,2.190255641937256
mcmc,14,0.1,2.0821287631988525
mcmc,14,0.1,1.0978074073791504
mcmc,14,0.1,1.4740694761276245
mcmc,14,0.1,1.6269593238830566
mcmc,14,0.1,3.0714972019195557
mcmc,14,0.1,2.480958938598633
mcmc,14,0.1,1.1835638284683228
mcmc,14,0.1,3.1642720699310303
mcmc,14,0.1,4.385614395141602
mcmc,14,0.1,3.899226665496826
mcmc,14,0.1,1.5139546394348145
mcmc,14,0.1,2.689499855041504
mcmc,14,0.1,4.02023458480835
mcmc,14,0.1,4.366344928741455
mcmc,14,0.1,2.5002212524414062
mcmc,14,0.1,2.5229105949401855
mcmc,14,0.1,2.4633171558380127
mcmc,14,0.1,1.6263413429260254
mcmc,14,0.1,2.453380823135376
mcmc,14,0.1,3.2353782653808594
mcmc,14,0.1,1.9203850030899048
mcmc,14,0.1,1.3469799757003784
mcmc,14,0.1,1.3979344367980957
mcmc,14,0.1,1.7371134757995605
mcmc,14,0.1,2.358454465866089
mcmc,14,0.1,2.0356576442718506
mcmc,14,0.1,2.068964958190918
mcmc,14,0.1,3.382266044616699
mcmc,14,0.1,6.597537517547607
mcmc,14,0.1,7.076388835906982
mcmc,14,0.1,2.997455596923828
mcmc,14,0.1,4.6981916427612305
mcmc,14,0.1,1.47227942943573
mcmc,14,0.1,3.84875226020813
mcmc,14,0.1,6.39862060546875
mcmc,14,0.1,1.6600592136383057
mcmc,14,0.1,1.8956589698791504
mcmc,14,0.1,2.5753469467163086
mcmc,14,0.1,2.3933796882629395
mcmc,14,0.1,3.9561610221862793
mcmc,14,0.1,1.2296503782272339
mcmc,14,0.1,2.157235860824585
mcmc,14,0.1,2.4851109981536865
mcmc,14,0.1,4.522299766540527
mcmc,14,0.1,1.534933090209961
mcmc,14,0.1,1.969462275505066
mcmc,14,0.1,3.2015957832336426
mcmc,14,0.1,3.030062198638916
mcmc,14,0.1,1.8209255933761597
mcmc,14,0.1,3.852570056915283
mcmc,14,0.1,1.7429420948028564
mcmc,14,0.1,3.4368183612823486
mcmc,14,0.1,5.26414680480957
mcmc,14,0.1,3.8345611095428467
mcmc,14,0.1,3.4874520301818848
mcmc,14,0.1,6.796196460723877
mcmc,14,0.1,5.589449405670166
mcmc,14,0.1,1.596497893333435
mcmc,14,0.1,6.60109281539917
mcmc,14,0.1,3.7742135524749756
mcmc,14,0.1,2.4612221717834473
mcmc,14,0.1,3.1499550342559814
mcmc,14,0.1,2.0936684608459473
mcmc,14,0.1,2.8136303424835205
mcmc,14,0.1,3.420290946960449
mcmc,14,0.1,3.26851487159729
mcmc,14,0.1,4.861443996429443
mcmc,14,0.1,2.944751501083374
mcmc,14,0.1,1.4292596578598022
mcmc,14,0.1,2.0441532135009766
mcmc,14,0.1,1.0549626350402832
mcmc,14,0.1,2.609172821044922
mcmc,14,0.1,1.4816056489944458
mcmc,14,0.1,2.1330254077911377
mcmc,14,0.1,1.5395017862319946
mcmc,14,0.1,1.2283375263214111
mcmc,14,0.1,1.7158888578414917
mcmc,14,0.1,1.6225848197937012
mcmc,14,0.1,1.8049564361572266
mcmc,14,0.1,1.5878567695617676
mcmc,14,0.1,1.6591688394546509
mcmc,14,0.1,2.45391583442688
mcmc,14,0.1,1.6910279989242554
mcmc,14,0.1,8.215516090393066
mcmc,14,0.1,1.9739936590194702
mcmc,14,0.1,1.8429688215255737
mcmc,14,0.1,1.890482783317566
mcmc,14,0.1,1.1400790214538574
mcmc,14,0.1,7.429965496063232
mcmc,14,0.1,1.3247095346450806
mcmc,14,0.1,3.941195249557495
mcmc,14,0.1,2.652355909347534
mcmc,14,0.1,9.543608665466309
mcmc,14,0.1,1.7379628419876099
mcmc,14,0.1,2.3187334537506104
mcmc,14,0.1,2.773052453994751
mcmc,14,0.1,3.681312322616577
mcmc,14,1.0,2.603238821029663
mcmc,14,1.0,3.9675261974334717
mcmc,14,1.0,1.9696227312088013
mcmc,14,1.0,5.752235412597656
mcmc,14,1.0,2.0065882205963135
mcmc,14,1.0,3.6747212409973145
mcmc,14,1.0,3.5258359909057617
mcmc,14,1.0,1.7161072492599487
mcmc,14,1.0,1.823737621307373
mcmc,14,1.0,2.943049669265747
mcmc,14,1.0,2.4628303050994873
mcmc,14,1.0,2.474454879760742
mcmc,14,1.0,3.3967974185943604
mcmc,14,1.0,1.2870486974716187
mcmc,14,1.0,2.781214952468872
mcmc,14,1.0,4.275490760803223
mcmc,14,1.0,2.6429500579833984
mcmc,14,1.0,4.338353157043457
mcmc,14,1.0,3.113694667816162
mcmc,14,1.0,2.6719448566436768
mcmc,14,1.0,5.677156925201416
mcmc,14,1.0,4.524043083190918
mcmc,14,1.0,4.994213581085205
mcmc,14,1.0,2.6513586044311523
mcmc,14,1.0,1.0605026483535767
mcmc,14,1.0,7.180015563964844
mcmc,14,1.0,4.801109790802002
mcmc,14,1.0,3.588838815689087
mcmc,14,1.0,3.973393678665161
mcmc,14,1.0,4.118217945098877
mcmc,14,1.0,3.5761144161224365
mcmc,14,1.0,2.8486487865448
mcmc,14,1.0,7.4949750900268555
mcmc,14,1.0,4.908140659332275
mcmc,14,1.0,6.689263820648193
mcmc,14,1.0,1.4622981548309326
mcmc,14,1.0,6.040553569793701
mcmc,14,1.0,5.893280506134033
mcmc,14,1.0,5.368795394897461
mcmc,14,1.0,1.4348864555358887
mcmc,14,1.0,5.060563564300537
mcmc,14,1.0,6.776644229888916
mcmc,14,1.0,4.131247043609619
mcmc,14,1.0,5.239642143249512
mcmc,14,1.0,4.254671096801758
mcmc,14,1.0,4.172383785247803
mcmc,14,1.0,8.798185348510742
mcmc,14,1.0,3.8681864738464355
mcmc,14,1.0,7.979767799377441
mcmc,14,1.0,1.1629072427749634
mcmc,14,1.0,1.69853937625885
mcmc,14,1.0,6.845658302307129
mcmc,14,1.0,9.013193130493164
mcmc,14,1.0,4.632168769836426
mcmc,14,1.0,4.489017486572266
mcmc,14,1.0,9.126409530639648
mcmc,14,1.0,3.364330768585205
mcmc,14,1.0,1.08540940284729
mcmc,14,1.0,2.427690267562866
mcmc,14,1.0,1.2561825513839722
mcmc,14,1.0,8.1011381149292
mcmc,14,1.0,2.7177627086639404
mcmc,14,1.0,2.1650638580322266
mcmc,14,1.0,1.7921102046966553
mcmc,14,1.0,2.9368107318878174
mcmc,14,1.0,1.5656676292419434
mcmc,14,1.0,1.2531147003173828
