method_label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,log_loss_mean,log_loss_std,brier_mean,brier_std,ece_mean,ece_std,duration_seconds_mean,duration_seconds_std
NUTS,0.967350278020903,0.013348084440861732,0.921604938271605,0.027560881603957824,0.9435875520490532,0.011580114999969155,0.05283726775208727,0.013010867336673726,0.015157676470176594,0.0036380702222589337,0.010935107534026933,0.002565962978074953,1787.951111111111,534.138713244145
MFG-VI,0.9746009350495544,0.018634476569716094,0.8203703703703703,0.03818813079129868,0.8903915816768014,0.024157711316645108,0.13501442013482726,0.0271304071034863,0.03183376514207476,0.006298380758246297,0.029091106648763847,0.017594810393514494,21.48888888888889,5.196940071918389
MVG-VI,0.9657905333494128,0.018414527630465187,0.8203703703703704,0.022566773346211006,0.8867863107415097,0.00931037369267537,0.10240700705990231,0.00790219482531025,0.027833601242202705,0.0016080357270646152,0.020491779481371247,0.004349448108449227,15.520000000000001,5.211717567174952
